Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:659716,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:659716,Course,2020-11-29 13:18 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2023-04-11 05:02 UTC,N/A,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2021-01-07 07:15 UTC,N/A,false,N/A,
Building Modern Projects with React,"Learn about some of the most important tools in the React ecosystem that help you simplify development and manage the complexities of state, side effects, structure, and styling. Instructor Shaun Wassell shows how to create a basic React project, and then explains how to add Redux, create thunks, use selectors, work with styled-components, perform testing, and more.",Course,2021-05-24 13:51 UTC,N/A,false,N/A,
Human Resources: Compensation and Benefits,"To attract and retain top talent, it's crucial for companies to get compensation and benefits right. When employees feel that they're paid fairly for what they do, there's greater incentive for them to excel in the workplace. This course provides an overview of the strategic choices that employers must make when developing a total rewards system. HR expert Wayne Cascio addresses management, policy, and legal issues in developing pay structures, incentive plans, and benefit offerings. He discusses how to establish an effective performance review process, how pay surveys drive decisions about compensation and benefits, the role of HR technology, and more.",Course,2020-04-14 13:07 UTC,N/A,false,N/A,
Additive Manufacturing for Business,"Gain insights into the world of additive manufacturing, going beyond the hype of 3D printing by focusing on actual business cases. First, gain an understanding of key additive manufacturing processes, including stereolithography, jetting, extrusion, working with powder beds, ultrasonic consolidation, and more. Next, explore how additive manufacturing can apply to your business, from product planning and modeling to development and evolution. Then, consider the case studies presented where additive manufacturing is used today.",Course,2020-04-05 14:09 UTC,N/A,false,N/A,
Python Essential Training (2018),"Due to its power and simplicity, Python has become the scripting language of choice for many large organizations, including Google, Yahoo, and IBM. A thorough understanding of Python 3, the latest version, will help you write more efficient and effective scripts. In this course, Bill Weinman demonstrates how to use Python 3 to create well-designed scripts and maintain existing projects. This course covers the basics of the language syntax and usage, as well as advanced features such as objects, generators, and exceptions. Learn how types and values are related to objects; how to use control statements, loops, and functions; and how to work with generators and decorators. Bill also introduces the Python module system and shows examples of Python scripting at work in a real-world application.",Course,2020-09-28 13:31 UTC,N/A,false,N/A,
What Is a PMO?,Many businesspeople still don’t understand what a project management office (PMO) is or what it does. Learn about the purpose of a PMO and why it is so important to the success of a modern business in this course with PMP Andy Jordan. Andy compares the different PMO models and identifies the roles a PMO plays in business planning and strategy execution. This brief course can help you apply the concept of a PMO to your own business and identify opportunities to optimize project delivery and achieve better results.,Course,2020-11-19 14:58 UTC,N/A,false,N/A,
11 Useful Tips for Regression Analysis,"If you need to sort through information to gain insights or make data-driven decisions, regression analysis is a helpful tool in almost any circumstance. On the most basic level, regression analysis reveals relationships between a dependent variable and a collection of independent variables in a fixed dataset. This is crucial for predicting and forecasting, and also helpful for inferring causal relationships between variables. In this course, Franz Buscha moves beyond the basics, showcasing several prominent tips and tricks that will allow you to not only build better regression models, but also present your results in a more impactful way. Through use of practical examples, Franz covers topics like weighted regressions, polynomial variables, and how to deal with missing data in your regression models.",Course,2021-03-17 13:23 UTC,N/A,false,N/A,
Nano Tips for Finding Happiness Through Empathy with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>Happiness is a mindset that begins with empathy for yourself and others - and it is core to fulfillment and success. Join leadership strategist and award-winning peak performance educator Shadé Zahrai as she shares 10 nano tips for elevating your empathy to enhance relationships, foster psychological safety, and create a happy life and career. Shadé explains three types of empathy, offers simple techniques on how to navigate conflict, shares actionable tools to empower others and yourself, and more.",Course,2022-10-26 07:14 UTC,N/A,false,N/A,
43 Ideas for Starting a Side Business,"It's a great time to explore creating a side business that can earn you extra income. In this course, Dana Robinson, a serial entrepreneur and attorney, shares 43 ideas for making additional income. Dana offers an array of options, including being a voice artist, turning trash into treasure (and selling it for a profit), landing copyediting gigs, becoming a virtual assistant, and working in real estate management. Dana highlights the value of each opportunity, outlines how to get started, and provides examples of successful ventures. After watching this course, you'll be ready to put one of these ideas into action.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img alt=""Madecraft Logo""src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2021-03-19 21:24 UTC,N/A,false,N/A,
What to Do in the First 90 Days of Your New Job,"The first 90 days of a new job are crucial. Your boss will decide if you're the right fit for the job and whether you can deliver results. It's a fun time, but it's also really scary. Aimee Bateman, career expert and founder of Careercake.com, has placed over 4,000 people in their dream jobs. In this course, she breaks down those first 90 days for you, month by month, and outlines the activities you need to perform in order to make a real impact. Learn how to absorb all the new information, impress your boss and get along with your coworkers, and deliver the performance you promised in your interview. Plus, find out what to do if the job's not everything you expected it would be.<br><br>

This course was created by <a href=”https://www.careercake.com/” target=”_blank”>Careercake</a>, the careers content platform. We are pleased to host this training in our library.",Course,2020-04-16 09:37 UTC,N/A,false,N/A,
Advanced SQL for Data Science: Time Series,"Time series data is data gathered over time: performance metrics, user interactions, and information collected by sensors. Since different time series data have different measures and different intervals,  these data present a unique challenge for data scientists. However, SQL has some features designed to help. This course teaches you how to standardize and model time series data with them. Instructor Dan Sullivan discusses windowing and the difference between sliding and tumbling window calculations. Then learn how SQL constructs such as OVER and PARTITION BY help to simplify analysis, and how denormalization can be used to augment data while avoiding joins. Plus, discover optimization techniques such as indexing. Dan also introduces time series analysis techniques such as previous time period comparisons, moving averages, exponential smoothing, and linear regression.",Course,2021-10-29 11:42 UTC,N/A,false,N/A,
Accelerating Your Career with Personal Branding,"When it comes to accelerating your career, you can’t ignore the importance of your personal brand. Your brand is your voice, your reputation, and a key part of your professional persona. In this course, explore how to use your personal brand to boost your career with award-winning leadership strategist Shadé Zahrai.<br><br>Learn how to get started crafting a standout brand of your own, with practical advice to help you grow, gain recognition, and open new professional doors. Find out how to create compelling and unforgettable personal content, develop authentic work relationships, and elevate your influence along the way. By the end of this course, you’ll be better poised to manage your brand online and cultivate a lasting impression on the job.",Course,2022-11-27 21:39 UTC,N/A,false,N/A,
"Agile Project Management with Jira Cloud: 1 Projects, Boards, and Issues","Get started with agile project management. Get an overview of agile and Jira, then practice creating and using project boards in both company-managed and team-managed versions of Jira Cloud. Learn how to create issues and subtasks, and explore techniques to make your logged issues more useful. Finally,  learn the value of the kanban method, and how to configure a kanban board.<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2022-01-27 22:28 UTC,N/A,false,N/A,
Statistics Foundations: 3,"Statistics are everywhere, in every industry, but they're a must for anyone working in data science, business, or business analytics. If you're in one of these specialized fields, chances are you need an advanced understanding of statistics. Complete your mastery in this course, part 3 of our <em>Statistics Fundamentals</em> series. Eddie Davila covers concepts such as small sample sizes, <em>t</em>-distribution, degrees of freedom, chi-square testing, and more.  This advanced skills training moves learners into the practical study and application of experimental design, analysis of variance, population comparison, and regression analysis. Use these lessons to go beyond the basics and dive deeper into the specific factors that influence your own calculations and results.",Course,2020-04-28 16:21 UTC,2020-04-28 16:07 UTC,false,N/A,
Data Science Foundations: Data Mining,"All data science begins with good data. Data mining is a framework for collecting, searching, and filtering raw data in a systematic matter, ensuring you have clean data from the start. It also helps you parse large data sets, and get at the most meaningful, useful information. This course, <em>Data Science Foundations: Data Mining</em>, is designed to provide a solid point of entry to all the tools, techniques, and tactical thinking behind data mining.<br><br>

Barton Poulson covers data sources and types, the languages and software used in data mining (including R and Python), and specific task-based lessons that help you practice the most common data-mining techniques: text mining, data clustering, association analysis, and more. This course is an absolute necessity for those interested in joining the data science workforce, and for those who need to obtain more experience in data mining.",Course,2020-04-26 04:27 UTC,N/A,false,N/A,
iPhone and iPad Photography with iOS 13,"Discover the powerful array of tools, features, and functionality for photographers inside iOS 13 on iPad and iPhone. Instructor Seán Duggan covers how to use the basic camera controls before moving on to more advanced features, including night mode, slow motion, and time-lapse. Seán also discusses photo editing, organizing, and sharing.",Course,2021-05-20 21:11 UTC,N/A,false,N/A,
Mathematica 11 Machine Learning,"Learn how to analyze data using the machine learning capabilities built into Mathematica 11. In this course, Curt Frye provides an overview of machine learning tasks, explains how to separate training data from test data, and shows how to import data from a file. He also demonstrates how to prepare data for machine learning, including how to replace values near zero with zero and sort elements using a rule. Curt also covers determining functions that generate data and performing supervised machine learning tasks.",Course,2020-02-11 17:27 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-03-24 13:06 UTC,N/A,false,N/A,
Learning Excel: Data Analysis,"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses; modeling different data distributions; calculating the covariance and correlation between data sets; and calculating probabilities, combinations, and permutations. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2023-02-06 04:27 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-06-02 18:13 UTC,N/A,false,N/A,
Introduction to Machine Learning with KNIME,"KNIME is an open-source workbench-style tool for predictive analytics and machine learning. It is highly compatible with numerous data science technologies, including R, Python, Scala, and Spark. With KNIME, you can produce solutions that are virtually self-documenting and ready for use. These reasons and more make KNIME one of the most popular and fastest-growing analytics platforms around. In this course, expert Keith McCormick shows how KNIME supports all the phases of the Cross Industry Standard Process for Data Mining (CRISP-DM) in one platform. Get up and running quickly—in 15 minutes or less—or stick around for the more in-depth training covering merging and aggregation, modeling, and data scoring. Plus, learn how to increase the power of KNIME with extensions and integrate R and Python.",Course,2020-12-07 19:49 UTC,N/A,false,N/A,
SQL Server Database Triggers,"SQL Server database triggers help database developers automate routine tasks. Triggers wait for an activating event to occur, then immediately respond with preprogrammed operations. This course, from database expert Adam Wilbert, takes a deep dive into leveraging these powerful and flexible components of a SQL Server database. Follow along and learn how to create and deploy different types of triggers, and get hands-on experience using triggers to solve common problems, such as timestamping data changes or collecting information about table events. Adam also helps you manage your database triggers: enabling, disabling, and reordering triggers as necessary. Plus, follow along with a hands-on project in chapter six, which uses triggers to perform tasks automatically in an inventory management system, such as updating inventory when new product is received.",Course,2022-09-24 12:01 UTC,N/A,false,N/A,
Insights on Data Science: Lillian Pierson,"Data science is a rapidly expanding field offering a wealth of possibilities for viewing the world around us through a more accurate lens. But for many of those whose imagination is sparked by big data—but who have already started pursuing a career in another field—the dream of becoming a data scientist can feel far-fetched. Lillian Pierson, P.E.—a leading expert in the field of big data and data science—aims to prove that notion wrong. In this course, she shares observations and tips to help you embark on a career in this exciting field, regardless of your starting point.<br><br> 

Lillian began her career not as a data scientist, but as an environmental engineer. Here, she shares her story, discussing how she taught herself to code in Python and R, and work with data science methodologies. As a result of her own experiences, Lillian is passionate about helping those interested in data science—but who may lack a four-year degree in the discipline—get started in the field. She shares practical ways to acquire the skills and experience needed to become a data scientist, and best practices for landing a job. Lillian also dives into grappling with the challenges that occur in rapidly evolving tech workforces. Plus, she discusses the industry itself, covering recent changes in the field and areas of need, and clearing up a few common misconceptions.",Course,2020-05-06 17:59 UTC,2020-05-06 17:58 UTC,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-11-01 16:08 UTC,N/A,false,N/A,
Learning React.js (2018),"React.js is a JavaScript library designed to make the process of building user interfaces more simple and intuitive. Design basic views for each state in your application, and React will efficiently update and render just the right components when your data changes. In this course, Eve Porcello helps you get started with React, guiding you through the interface design of a sample full-stack bulletin board app. She reviews components, properties, and component state, as well as the foundational parent/child relationships within React. Eve also describes the lifecycle of components and how developers can trigger creation, lifetime, and teardown events. The course wraps with a chapter dedicated to building an enhanced version of the app by updating components and loading data from an API. Plus, learn how to generate an optimized production build with create-react-app.",Course,2019-04-21 19:31 UTC,N/A,false,N/A,
Data Engineering Foundations,"Data science can be generally defined as the process of making data useful, and data engineering is a key part of how and why. If you think of data science like a race car, the data engineers are the pit crew. They’re not driving the car, but they make the car much easier to drive. Data engineers make sure the data flow is running smoothly, monitor systems, anticipate problems, and repair the data pipeline whenever problems arise. They extract and gather data from multiple sources and load it into a single, easy-to-query database. In short, data engineers make data scientists’ lives easier.<br><br>In this course, Harshit Tyagi explains the fundamentals of data engineering. He covers key topics like data wrangling, database schema, and developing ETL pipelines. He also details several data engineering tools like Hive, Hadoop, Spark, and Airflow. By the end of this course, it should be abundantly clear why the data engineer is one of the most valuable people in a data-driven organization.",Course,2021-03-28 16:57 UTC,N/A,false,N/A,
Nail Your Java Interview (2018),"Have you lined up an interview for a Java developer position? In this course, review critical Java concepts-and commonly-asked interview questions-to ensure that you approach your Java interviews with confidence. Instructor Kathryn Hodge dives into a discussion of key topics that might appear as questions in an interview, such as the difference between the Java Runtime Environment (JRE) and the Java Development Kit (JDK). She also goes over string manipulation, data structures, and essential object-oriented programming concepts. Throughout the course, Kathryn offers examples that lend a real-world context to the concepts she covers.",Course,2019-02-23 12:29 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists (2017),"There is an increasing need for data scientists and analysts to understand relational data stores. Organizations have long used SQL databases to store transactional data as well as business intelligence related data. If you need to work with SQL databases, this course is designed to help you learn how to perform common data science tasks, including finding, exploration, and extraction within relational databases.
<br><br>
The course begins with a brief overview of SQL. Then the five major topics a data scientist should understand when working with relational databases: basic statistics in SQL, data preparation in SQL, advanced filtering and data aggregation, window functions, and preparing data for use with analytics tools.",Course,2020-05-20 14:02 UTC,N/A,false,N/A,
Find a Job in the Hidden Job Market,"80% of jobs are not posted on job boards or company websites. These positions are filled in the hidden job market. In this course, you can learn how to access these unadvertised jobs by targeting your search, changing how and where you network, and taking action to supercharge your job hunt. Career strategist and former recruiter Sarah Johnston shows how to refine your job search goals, identify the companies you want to work for, and focus your efforts. She explains how to get your foot in the door by requesting an informational interview and how to build a network of contacts through conferences, trade associations, job search clubs, and more. Each tip helps you build valuable momentum and skills for a successful job search.",Course,2020-10-13 05:41 UTC,N/A,false,N/A,
Git Essential Training: The Basics (2019),"Learn how to use Git, the popular open-source version control software, to manage the source code for almost any project. In this course, Kevin Skoglund explores the fundamental concepts behind version control systems and the Git architecture. Using a step-by-step approach, he shows how to install Git and presents the commands that enable efficient code management. Learn how to add, change, and delete files in the repository; view a log of previous commits; and compare versions of a file. Plus, see how to undo changes to files and ignore certain files in a Git repository.",Course,2021-08-02 18:16 UTC,N/A,false,N/A,
Data Infrastructure and AI/ML,"Are you interested in exploring the intersection of data infrastructure, artificial intelligence, and machine learning? In this audio-only course—adapted from the <i>Free the Data Podcast</i>—Ben Sullins walks you through the complex world of big data in conversation with Statsig account executive and data expert Emma Dahl.<br><br>Discover the nitty-gritty and behind-the-scenes details of data infrastructure, AI, and machine learning. Follow along with Emma’s stories to find out what modern data architecture is all about, including tips on solution building, A/B testing, experimentation, and company culture. Learn about the value of a graduate education if you really want to pursue a professional data career. Along the way, Emma shares her insights and advice on breaking into the field and landing a role, particularly for women who are looking to get into tech.<br><br>Note: This course was created by Ben Sullins of the <i>Free the Data Podcast</i>. We are pleased to host this content in our library.",Course,2022-05-25 07:37 UTC,N/A,false,N/A,
Introducing Jupyter,"Present your projects like a pro with a new tool, Jupyter Notebook. Jupyter Notebook is an open-source web application that allows you to create and share documents that contain live code, charts and graphics, and descriptive text. It’s ideal for machine learning, statistical modeling, and other projects that require analysis and visualization. Join instructor Josh McQuiston as he shows how to run Jupyter notebooks, streamline workflows, and use common graphs to visualize your data in uncommon ways. The lessons are illustrated with examples based in real data, so you get an accurate picture of the real-world impact Jupyter can make on your development projects.",Course,2020-12-22 12:14 UTC,N/A,false,N/A,
Foundations of the Fourth Industrial Revolution (Industry 4.0),"<div><a href=""https://www.linkedin.com/newsletters/6758890536175833088?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Jonathan's LinkedIn Newsletter</a></div><br>The world is being transformed by a fourth industrial revolution. Sometimes referred to as Industry 4.0 or I4.0, the fourth industrial revolution takes the digital revolution a step further. The technology at its center—large-scale, low-cost automation and machine intelligence—has the potential to affect how we learn, work, move, communicate, and interact. This lecture-based series reviews the disruptive changes underway in science and culture and their impact on the future. Learn about the main technologies that are emerging, including artificial intelligence and blockchain, and their effect on cities, industries, and people. Dr. Jonathan Reichental also explains how people can take action to ensure Industry 4.0 doesn't leave anybody behind.",Course,2020-12-24 17:48 UTC,N/A,false,N/A,
Programming Foundations: Algorithms,"Algorithms are the universal building blocks of programming. They power the software you use every day, whether it's a spreadsheet, a social network, or a driving assistant. Algorithms offer a way to think about programming challenges in plain English, before they are translated into a specific language like C# or JavaScript. In this course, author and developer Joe Marini explains some of the most popular and useful algorithms for searching and sorting information, working with techniques like recursion, and understanding common data structures. He also discusses the performance implications of different algorithms and how to evaluate the performance of a given algorithm. Each algorithm is shown in practice in Python, but the lessons can be applied to any programming language.",Course,2021-04-22 19:45 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2021-01-12 04:41 UTC,N/A,false,N/A,
Human Resources: Leadership and Strategic Impact,"Human resources must a be an equal partner in defining an organization's strategy. But compared to its financial, technology, and customer counterparts, HR strategy can feel vague and disconnected from the core mission. How can HR step up to lead? By focusing on pivotal priorities, asking clarifying questions, and following proven frameworks. In this course, award-winning HR guru, researcher, consultant and coach John Boudreau shows how to drive impact, efficiency, and effectiveness of HR investments using his HC BRidge methodology. He shows how to ask the right questions, avoid the obvious (often wrong) answers, and define the talent, relationships, and pivotal processes that will have the biggest impact on company success. Using this toolkit, you build a sustainable HR strategy that will guide your choices and keep them in line with the rest of the organization. Plus, learn how to use bottlenecks to spot priorities, and measure the impact of your new strategy.",Course,2019-04-21 19:30 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2020-04-18 09:49 UTC,N/A,false,N/A,
R Statistics Essential Training,"R is the language of big data—a statistical programming language that helps describe, mine, and test relationships between large amounts of data. Author Barton Poulson shows how to use R to model statistical relationships using graphs, calculations, tests, and other analysis tools. Learn how to enter and modify data; create charts, scatter plots, and histograms; examine outliers; calculate correlations; and compute regressions, bivariate associations, and statistics for three or more variables. Challenge exercises with step-by-step solutions allow you to test your skills as you progress.",Course,2020-05-18 15:17 UTC,N/A,true,N/A,
Python: Recursion,"Recursion is part of the very fabric of computer science and software development, and whether you rarely use it or if it’s a key part of your development, there’s a good chance recursion is happening behind the scenes. Recursion is a powerful tool in breaking down complex problems into more manageable segments, and knowledge of recursion is a desirable trait that employers look for in developer positions. In this course, Robin Andrews takes a deep dive into the concepts, techniques, and applications of recursion using Python. He starts with some real-world examples of recursion, and then shows how it pertains to software development. He covers classic recursive algorithms like factorials and Fibonacci numbers, before showing how to write recursive algorithms in Python through practice exercises. After completing this course, you will have a better idea of how to use recursive algorithms to solve a wide range of software development issues.",Course,2021-03-25 15:38 UTC,N/A,false,N/A,
Ethical Hacking: The Complete Malware Analysis Process,"The key to effectively protecting your systems is understanding the attacks you have to defend them against. This course introduces the different types of malware (malicious software) that can be used to exploit a target computer. It covers viruses and worms—malware which can propagate itself onto other computers through removable media or networks—as well as Trojans and backdoors. Instructor Malcolm Shore explains where malware hides, and how you can detect it to protect your networks and systems against cyberattack. He reverse-engineers malware so you can see how it operates, and explains how attackers create malware using automated malware construction kits called “botnets.”  Along the way, Malcolm introduces malware analysis tools that are useful for the career of any IT professional.",Course,2020-03-20 13:57 UTC,N/A,false,N/A,
Advanced Python: Working with Databases,"To create functional and useful Python applications, you need a database. Databases allow you to store data from user sessions, track inventory, make recommendations, and more.  However, Python is compatible with many options: SQLite, MySQL, and PostgreSQL, among others. Selecting the right database is a skill that advanced developers are expected to master. This course provides an excellent primer, comparing the different types of databases that can be connected through the Python Database API. Instructor Kathryn Hodge teaches the differences between SQLite, MySQL, and PostgreSQL and shows how to use the ORM tool SQLAlchemy to query a database. The final chapters put your knowledge to practical use in two hands-on projects: developing a full-stack application with Python, PostgreSQL, and Flask and creating a data analysis app with pandas and Jupyter Notebook. By the end, you should feel comfortable creating and using databases and be able to decide which Python database is right for you.",Course,2022-07-25 08:55 UTC,N/A,false,N/A,
Learning Arduino: Pulse Width Modulation,"Pulse width modulation (PWM) is an essential skill for connecting Arduino microcontrollers to motors or lights, providing a way to approximate analog voltage levels with digital signals. Using PWM, you can control and program the brightness of lights and the speed of motors—bringing your projects to life. Join Rae Hoyt in this course and learn how to harness the power of PWM to drive digital circuits. She shows how to use the built-in PWM libraries and functions, troubleshoot code and hardware, and use analog input controls to drive servos, motors, and RGB LEDs. Take the practice challenges along the way to test your learning and see how far your Arduino skills are progressing.",Course,2019-02-07 00:01 UTC,N/A,false,N/A,
Nano Tips to Stop Overthinking with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, unlock the secrets of living your life without the burden of overthinking, using key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Learn how to stop picking apart or criticizing everything you say and do. Discover practical strategies to develop a mindset that doesn’t prevent you from achieving your goals. Find out more about how overthinking can be so detrimental to your career, your relationships, and your personal and professional life. Along the way, Shadé shows you how to gear yourself up for more positive thinking to move from worry to action with ease.",Course,2022-12-21 21:12 UTC,N/A,false,N/A,
Power BI: Integrating AI and Machine Learning,"<div><a href=""https://www.linkedin.com/newsletters/6827804190581039104?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Helen's LinkedIn Newsletter</a></div><br>Power BI is a powerful data analytics and visualization tool that allows business users to monitor data, analyze trends, and make decisions. Every month, Microsoft pushes Power BI updates out to the end users, and the growth of Power BI is a key part of Microsoft’s current strategy. This course showcases existing AI and machine learning capabilities available directly in accessible Power BI functionalities. Data analytics and business analysis expert Helen Wall gives you a useful overview of Power BI, then dives into the steps to configure Power Query and your data model. Helen steps through analyzing single variables and shows you the tools and techniques to measure relationships between variables. She shows you visuals that you can use to pose and answer questions in Power BI, explains useful techniques to enhance your analysis of time series data, and walks you through some best practices for sharing your analysis.",Course,2021-09-29 07:05 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-04-14 11:05 UTC,N/A,false,N/A,
Statistics Foundations: 1,"Statistics is not just the realm of data scientists. All types of jobs use statistics. Statistics are important for making decisions, new discoveries, investments, and predictions.  Whether the subject is political races, sports rankings, shopping trends, or healthcare advancements, statistics is an instrument for understanding your favorite topic at a deeper level. With these beginner-level lessons, you too can master the terms, formulas, and techniques needed to perform the most common types of statistics.<br><br>

Professor Eddie Davila covers statistics basics, like calculating averages, medians, modes, and standard deviations. He shows how to use probability and distribution curves to inform decisions, and how to detect false positives and misleading data. Each concept is covered in simple language, with detailed examples that show how statistics are used in real-world scenarios from the worlds of business, sports, education, entertainment, and more. These techniques will help you understand your data, prove theories, and save time, money, and other valuable resources—all by understanding the numbers.",Course,2020-04-28 16:21 UTC,2020-04-27 14:00 UTC,false,N/A,
